running_order_position,to_country
1,Slovenia
2,France
3,Israel
4,Estonia
5,United Kingdom
6,Armenia
7,Lithuania
8,Serbia
9,Norway
10,Sweden
11,Cyprus
12,Australia
13,Belgium
14,Austria
15,Greece
16,Montenegro
17,Germany
18,Poland
19,Latvia
20,Romania
21,Spain
22,Hungary
23,Georgia
24,Azerbaijan
25,Russia
26,Albania
27,Italy
