Eurovision Song Contest 2015 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
F.Y.R. Macedonia,Serbia,1,1,1,1,1,1,2,1,12
F.Y.R. Macedonia,Hungary,15,12,14,12,14,14,13,15,"
"
F.Y.R. Macedonia,Belarus,9,9,8,10,6,7,15,12,"
"
F.Y.R. Macedonia,Russia,2,4,2,4,3,3,3,3,8
F.Y.R. Macedonia,Denmark,12,10,4,11,13,12,14,14,"
"
F.Y.R. Macedonia,Albania,7,6,6,3,4,4,1,2,10
F.Y.R. Macedonia,Romania,6,7,13,8,12,10,12,11,"
"
F.Y.R. Macedonia,Georgia,5,11,12,9,5,8,8,8,3
Finland,Moldova,5,14,12,8,13,12,12,12,"
"
Finland,Armenia,15,15,15,3,15,15,15,15,"
"
Finland,Belgium,1,4,2,2,3,1,2,1,12
Finland,The Netherlands,9,9,5,6,2,4,11,8,3
Finland,Greece,4,3,7,9,9,7,10,9,2
Finland,Estonia,10,11,6,1,4,5,1,3,8
Finland,F.Y.R. Macedonia,14,10,11,14,10,14,14,14,"
"
Finland,Serbia,8,6,9,12,14,10,5,7,4
Finland,Hungary,7,7,8,4,5,3,7,4,7
Finland,Belarus,13,5,13,13,11,13,13,13,"
"
Finland,Russia,2,1,1,11,1,2,3,2,10
Finland,Denmark,12,12,4,7,8,9,9,10,1
Finland,Albania,6,8,10,15,12,11,8,11,"
"
Finland,Romania,3,13,14,5,7,8,4,5,6
Finland,Georgia,11,2,3,10,6,6,6,6,5
France,Moldova,15,6,8,14,7,11,9,11,"
"
France,Armenia,7,12,15,15,11,14,1,6,5
France,Belgium,1,3,1,2,2,2,4,1,12
France,The Netherlands,4,9,6,13,4,4,12,9,2
France,Finland,16,15,16,4,16,16,13,16,"
"
France,Greece,5,4,10,12,5,5,10,8,3
France,Estonia,6,10,5,11,8,7,8,7,4
France,F.Y.R. Macedonia,12,16,14,10,6,12,15,15,"
"
France,Serbia,13,13,13,9,12,13,5,10,1
France,Hungary,3,2,4,1,3,3,11,5,6
France,Belarus,10,5,12,8,14,10,16,14,"
"
France,Russia,2,1,2,3,1,1,6,2,10
France,Denmark,11,7,9,6,9,8,14,13,"
"
France,Albania,9,14,11,5,10,9,3,4,7
France,Romania,8,8,3,7,13,6,2,3,8
France,Georgia,14,11,7,16,15,15,7,12,"
"
Georgia,Moldova,5,3,6,3,7,2,"
",2,10
Georgia,Armenia,3,2,13,1,8,3,"
",3,8
Georgia,Belgium,8,4,4,15,3,6,"
",6,5
Georgia,The Netherlands,6,12,5,10,10,9,"
",9,2
Georgia,Finland,4,13,15,4,15,12,"
",12,"
"
Georgia,Greece,11,6,2,14,2,7,"
",7,4
Georgia,Estonia,7,5,12,5,14,8,"
",8,3
Georgia,F.Y.R. Macedonia,10,14,9,13,13,15,"
",15,"
"
Georgia,Serbia,15,15,8,7,12,14,"
",14,"
"
Georgia,Hungary,13,11,7,11,5,11,"
",11,"
"
Georgia,Belarus,2,1,10,2,6,1,"
",1,12
Georgia,Russia,12,8,1,6,1,4,"
",4,7
Georgia,Denmark,14,9,11,12,9,13,"
",13,"
"
Georgia,Albania,9,7,3,8,4,5,"
",5,6
Georgia,Romania,1,10,14,9,11,10,"
",10,1
Greece,Moldova,8,13,13,15,9,13,10,13,"
"
Greece,Armenia,7,3,9,2,8,5,4,4,7
Greece,Belgium,2,4,7,3,1,2,8,5,6
Greece,The Netherlands,12,12,6,12,6,11,14,14,"
"
Greece,Finland,13,15,12,7,14,14,9,12,"
"
Greece,Estonia,14,5,4,8,13,9,6,7,4
Greece,F.Y.R. Macedonia,15,14,11,14,15,15,15,15,"
"
Greece,Serbia,11,11,15,13,7,12,7,9,2
Greece,Hungary,5,7,14,11,11,10,11,11,"
"
Greece,Belarus,4,6,5,5,4,3,13,8,3
Greece,Russia,1,1,1,6,2,1,3,1,12
Greece,Denmark,9,10,8,9,5,8,12,10,1
Greece,Albania,10,2,2,1,10,4,1,2,10
Greece,Romania,3,9,10,10,3,7,5,6,5
Greece,Georgia,6,8,3,4,12,6,2,3,8
Hungary,Moldova,9,15,14,7,14,13,11,14,"
"
Hungary,Armenia,11,14,13,14,9,14,9,12,"
"
Hungary,Belgium,7,2,1,2,4,1,5,2,10
Hungary,The Netherlands,6,9,12,13,1,7,14,11,"
"
Hungary,Finland,14,5,4,15,10,12,4,9,2
Hungary,Greece,2,6,8,10,2,5,10,8,3
Hungary,Estonia,4,7,2,3,13,6,1,3,8
Hungary,F.Y.R. Macedonia,8,13,15,12,15,15,15,15,"
"
Hungary,Serbia,12,10,3,9,12,8,6,7,4
Hungary,Belarus,10,8,11,6,11,10,13,13,"
"
Hungary,Russia,5,3,10,1,8,4,2,1,12
Hungary,Denmark,1,4,7,8,6,3,7,4,7
Hungary,Albania,15,12,9,5,5,9,12,10,1
Hungary,Romania,13,11,5,11,7,11,3,6,5
Hungary,Georgia,3,1,6,4,3,2,8,5,6
Moldova,Armenia,7,4,7,12,4,6,10,7,4
Moldova,Belgium,8,14,2,6,10,8,4,6,5
Moldova,The Netherlands,12,11,8,15,12,12,11,13,"
"
Moldova,Finland,13,15,15,9,15,15,13,15,"
"
Moldova,Greece,10,9,12,10,8,11,7,8,3
Moldova,Estonia,9,13,13,13,14,14,5,9,2
Moldova,F.Y.R. Macedonia,3,7,6,11,7,5,15,10,1
Moldova,Serbia,6,3,11,14,9,9,12,11,"
"
Moldova,Hungary,14,10,9,4,11,10,14,14,"
"
Moldova,Belarus,2,2,4,7,3,2,6,3,8
Moldova,Russia,11,8,10,8,2,7,2,4,7
Moldova,Denmark,15,12,14,5,13,13,9,12,"
"
Moldova,Albania,4,6,3,3,5,3,8,5,6
Moldova,Romania,1,1,1,1,1,1,1,1,12
Moldova,Georgia,5,5,5,2,6,4,3,2,10
Romania,Moldova,7,4,6,8,6,7,1,3,8
Romania,Armenia,9,8,14,9,9,10,11,10,1
Romania,Belgium,2,5,1,6,4,3,7,4,7
Romania,The Netherlands,6,2,7,4,7,5,9,8,3
Romania,Finland,15,15,13,15,15,15,8,11,"
"
Romania,Greece,4,7,5,7,5,6,5,5,6
Romania,Estonia,12,14,3,12,11,11,4,9,2
Romania,F.Y.R. Macedonia,13,12,15,13,12,14,14,15,"
"
Romania,Serbia,8,13,12,11,14,12,12,12,"
"
Romania,Hungary,5,3,10,3,2,4,2,2,10
Romania,Belarus,11,6,11,10,8,9,15,13,"
"
Romania,Russia,1,1,4,2,1,1,3,1,12
Romania,Denmark,3,9,2,1,3,2,10,6,5
Romania,Albania,14,11,9,14,10,13,13,14,"
"
Romania,Georgia,10,10,8,5,13,8,6,7,4
Russia,Moldova,10,14,10,15,15,14,9,11,"
"
Russia,Armenia,9,5,6,4,2,4,1,1,12
Russia,Belgium,2,1,1,1,1,1,5,3,8
Russia,The Netherlands,4,7,8,10,6,8,15,12,"
"
Russia,Finland,13,15,13,11,13,15,10,14,"
"
Russia,Greece,5,10,5,8,3,6,7,6,5
Russia,Estonia,1,3,9,2,4,2,4,2,10
Russia,F.Y.R. Macedonia,15,8,7,12,12,11,14,15,"
"
Russia,Serbia,8,13,15,9,9,10,6,7,4
Russia,Hungary,14,12,3,6,11,9,11,9,2
Russia,Belarus,3,4,14,5,5,7,2,5,6
Russia,Denmark,11,9,11,13,10,12,12,13,"
"
Russia,Albania,6,2,4,3,7,3,13,8,3
Russia,Romania,12,11,12,14,14,13,8,10,1
Russia,Georgia,7,6,2,7,8,5,3,4,7
Serbia,Moldova,2,1,3,2,1,2,11,6,5
Serbia,Armenia,15,15,13,12,14,15,15,15,"
"
Serbia,Belgium,3,7,4,4,3,4,8,4,7
Serbia,The Netherlands,8,6,5,6,4,6,14,11,"
"
Serbia,Finland,11,8,6,14,13,10,6,7,4
Serbia,Greece,12,10,10,9,9,9,4,5,6
Serbia,Estonia,9,14,14,15,10,13,5,9,2
Serbia,F.Y.R. Macedonia,1,2,1,1,2,1,1,1,12
Serbia,Hungary,4,5,7,5,7,5,3,3,8
Serbia,Belarus,14,13,12,10,11,12,12,14,"
"
Serbia,Russia,5,4,2,3,5,3,2,2,10
Serbia,Denmark,6,9,8,7,8,8,13,12,"
"
Serbia,Albania,10,11,15,13,15,14,9,13,"
"
Serbia,Romania,7,3,9,8,6,7,10,8,3
Serbia,Georgia,13,12,11,11,12,11,7,10,1
Spain,Moldova,8,14,15,16,14,15,9,12,"
"
Spain,Armenia,12,13,11,15,13,12,4,7,4
Spain,Belgium,5,6,2,2,3,2,3,2,10
Spain,The Netherlands,10,7,14,13,9,10,8,8,3
Spain,Finland,16,15,12,14,16,16,11,15,"
"
Spain,Greece,2,2,3,9,5,4,14,9,2
Spain,Estonia,7,5,4,3,2,3,2,1,12
Spain,F.Y.R. Macedonia,14,16,10,10,15,13,16,16,"
"
Spain,Serbia,11,11,13,12,10,11,10,11,"
"
Spain,Hungary,15,12,16,11,12,14,12,14,"
"
Spain,Belarus,13,9,5,8,11,9,15,13,"
"
Spain,Russia,1,1,1,1,1,1,7,4,7
Spain,Denmark,6,3,9,7,8,7,13,10,1
Spain,Albania,4,4,8,6,4,5,5,5,6
Spain,Romania,3,10,7,4,6,6,1,3,8
Spain,Georgia,9,8,6,5,7,8,6,6,5
The Netherlands,Moldova,11,10,10,9,13,12,14,14,"
"
The Netherlands,Armenia,10,14,7,10,11,11,2,6,5
The Netherlands,Belgium,1,3,2,1,2,1,1,1,12
The Netherlands,Finland,15,12,15,15,15,15,7,11,"
"
The Netherlands,Greece,2,2,3,4,1,2,9,5,6
The Netherlands,Estonia,7,5,5,3,6,5,4,3,8
The Netherlands,F.Y.R. Macedonia,14,15,14,11,14,14,13,15,"
"
The Netherlands,Serbia,8,9,6,6,7,7,3,4,7
The Netherlands,Hungary,9,8,8,12,10,9,6,7,4
The Netherlands,Belarus,6,11,13,8,12,10,15,13,"
"
The Netherlands,Russia,4,1,1,5,5,3,5,2,10
The Netherlands,Denmark,5,4,4,2,4,4,11,8,3
The Netherlands,Albania,13,13,12,13,8,13,12,12,"
"
The Netherlands,Romania,12,7,11,7,9,8,8,9,2
The Netherlands,Georgia,3,6,9,14,3,6,10,10,1
