Eurovision Song Contest 2015 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Albania,Moldova,6,2,7,6,5,4,13,9,2
Albania,Armenia,7,15,9,3,1,7,8,6,5
Albania,Belgium,10,11,3,10,9,9,4,5,6
Albania,The Netherlands,9,7,13,1,8,8,10,10,1
Albania,Finland,11,13,14,15,13,14,9,14,"
"
Albania,Greece,4,1,5,7,3,2,1,1,12
Albania,Estonia,14,10,15,13,14,15,5,12,"
"
Albania,F.Y.R. Macedonia,3,3,2,5,4,1,7,2,10
Albania,Serbia,5,6,4,2,6,3,15,11,"
"
Albania,Hungary,1,4,8,9,7,6,11,8,3
Albania,Belarus,15,12,6,11,12,12,14,15,"
"
Albania,Russia,8,14,1,12,11,11,2,4,7
Albania,Denmark,12,8,11,4,10,10,12,13,"
"
Albania,Romania,2,5,10,8,2,5,6,3,8
Albania,Georgia,13,9,12,14,15,13,3,7,4
Armenia,Moldova,5,6,7,6,7,5,6,5,6
Armenia,Belgium,13,15,15,12,15,15,5,10,1
Armenia,The Netherlands,6,9,13,4,11,8,12,11,"
"
Armenia,Finland,8,10,14,11,12,12,10,12,"
"
Armenia,Greece,3,3,3,2,3,3,3,3,8
Armenia,Estonia,12,14,12,13,13,13,4,7,4
Armenia,F.Y.R. Macedonia,10,8,10,10,10,11,15,14,"
"
Armenia,Serbia,9,7,8,9,5,6,7,6,5
Armenia,Hungary,15,13,11,14,14,14,14,15,"
"
Armenia,Belarus,2,2,2,3,2,2,8,4,7
Armenia,Russia,4,4,1,5,4,4,1,2,10
Armenia,Denmark,7,12,6,15,8,10,9,9,2
Armenia,Albania,14,11,9,7,6,9,13,13,"
"
Armenia,Romania,11,5,5,8,9,7,11,8,3
Armenia,Georgia,1,1,4,1,1,1,2,1,12
Australia,Moldova,14,10,11,16,14,15,11,13,"
"
Australia,Armenia,13,15,14,15,16,16,12,14,"
"
Australia,Belgium,16,13,1,3,2,6,2,3,8
Australia,The Netherlands,11,6,6,7,6,7,15,12,"
"
Australia,Finland,10,14,16,9,7,12,9,11,"
"
Australia,Greece,9,3,5,5,8,5,6,5,6
Australia,Estonia,12,5,12,10,9,10,3,6,5
Australia,F.Y.R. Macedonia,4,16,9,13,12,11,5,8,3
Australia,Serbia,2,2,13,2,4,3,1,1,12
Australia,Hungary,3,9,4,6,5,4,13,9,2
Australia,Belarus,15,12,10,14,13,14,14,15,"
"
Australia,Russia,1,1,2,1,1,1,4,2,10
Australia,Denmark,7,4,8,11,10,8,7,7,4
Australia,Albania,6,11,15,12,15,13,16,16,"
"
Australia,Romania,8,8,7,8,11,9,10,10,1
Australia,Georgia,5,7,3,4,3,2,8,4,7
Austria,Moldova,10,15,9,12,9,12,12,14,"
"
Austria,Armenia,13,10,12,16,14,15,6,12,"
"
Austria,Belgium,5,6,5,1,3,4,8,5,6
Austria,The Netherlands,2,7,3,2,7,5,15,11,"
"
Austria,Finland,16,16,16,13,16,16,9,15,"
"
Austria,Greece,3,5,4,4,4,3,11,7,4
Austria,Estonia,4,3,1,6,1,1,7,2,10
Austria,F.Y.R. Macedonia,11,4,14,14,13,13,13,16,"
"
Austria,Serbia,12,12,6,15,8,10,1,4,7
Austria,Hungary,14,11,15,8,6,11,3,6,5
Austria,Belarus,9,2,8,10,10,7,16,13,"
"
Austria,Russia,1,1,7,5,2,2,5,1,12
Austria,Denmark,6,14,2,3,5,6,14,10,1
Austria,Albania,15,8,10,11,15,14,4,8,3
Austria,Romania,8,9,13,7,12,8,2,3,8
Austria,Georgia,7,13,11,9,11,9,10,9,2
Belarus,Moldova,5,1,3,5,4,4,5,6,5
Belarus,Armenia,2,5,2,4,1,2,6,4,7
Belarus,Belgium,4,3,8,6,5,5,4,5,6
Belarus,The Netherlands,14,7,10,7,15,10,13,14,"
"
Belarus,Finland,11,13,15,14,13,14,7,10,1
Belarus,Greece,8,9,4,8,8,7,12,8,3
Belarus,Estonia,10,8,5,3,7,6,2,3,8
Belarus,F.Y.R. Macedonia,15,15,14,11,14,15,15,15,"
"
Belarus,Serbia,7,10,9,13,10,9,10,7,4
Belarus,Hungary,9,12,12,15,6,11,11,12,"
"
Belarus,Russia,3,2,6,2,3,3,1,1,12
Belarus,Denmark,13,11,13,12,11,13,9,11,"
"
Belarus,Albania,6,6,7,9,9,8,14,13,"
"
Belarus,Romania,12,14,11,10,12,12,8,9,2
Belarus,Georgia,1,4,1,1,2,1,3,2,10
Belgium,Moldova,12,11,11,15,11,13,13,14,"
"
Belgium,Armenia,5,6,4,2,12,4,1,1,12
Belgium,The Netherlands,13,9,6,10,9,10,2,5,6
Belgium,Finland,11,14,13,8,14,12,10,12,"
"
Belgium,Greece,10,4,9,4,7,6,9,8,3
Belgium,Estonia,2,7,12,13,4,9,3,6,5
Belgium,F.Y.R. Macedonia,14,13,14,12,13,14,15,15,"
"
Belgium,Serbia,15,15,15,14,15,15,6,11,"
"
Belgium,Hungary,4,1,3,1,1,1,11,7,4
Belgium,Belarus,9,10,8,11,10,11,14,13,"
"
Belgium,Russia,3,2,1,3,2,2,7,3,8
Belgium,Denmark,7,8,7,6,6,7,12,10,1
Belgium,Albania,8,3,2,7,3,3,4,2,10
Belgium,Romania,1,12,5,5,8,5,5,4,7
Belgium,Georgia,6,5,10,9,5,8,8,9,2
Denmark,Moldova,11,14,11,1,7,11,10,13,"
"
Denmark,Armenia,12,3,14,14,13,13,15,15,"
"
Denmark,Belgium,9,2,1,5,3,3,1,1,12
Denmark,The Netherlands,2,1,2,6,6,2,9,4,7
Denmark,Finland,15,15,15,15,15,15,4,9,2
Denmark,Greece,5,9,10,3,11,8,11,11,"
"
Denmark,Estonia,10,10,9,10,4,9,2,3,8
Denmark,F.Y.R. Macedonia,4,7,3,13,5,5,14,12,"
"
Denmark,Serbia,13,13,13,12,10,14,5,10,1
Denmark,Hungary,6,12,12,4,9,10,6,7,4
Denmark,Belarus,3,5,7,9,8,4,13,8,3
Denmark,Russia,1,4,4,2,1,1,3,2,10
Denmark,Albania,14,8,8,11,14,12,12,14,"
"
Denmark,Romania,8,11,6,8,2,6,7,5,6
Denmark,Georgia,7,6,5,7,12,7,8,6,5
Estonia,Moldova,6,12,11,14,12,11,13,12,"
"
Estonia,Armenia,14,13,12,13,11,14,14,15,"
"
Estonia,Belgium,1,1,2,4,1,1,4,2,10
Estonia,The Netherlands,3,9,5,1,6,4,8,6,5
Estonia,Finland,11,8,15,15,7,12,1,7,4
Estonia,Greece,7,14,6,11,13,10,11,10,1
Estonia,F.Y.R. Macedonia,8,7,8,3,3,5,12,9,2
Estonia,Serbia,15,15,13,12,14,15,10,14,"
"
Estonia,Hungary,4,2,1,2,2,2,2,1,12
Estonia,Belarus,13,11,10,9,15,13,9,11,"
"
Estonia,Russia,2,4,3,5,8,3,3,3,8
Estonia,Denmark,9,10,9,6,4,7,5,4,7
Estonia,Albania,12,5,7,10,10,9,15,13,"
"
Estonia,Romania,5,6,14,7,9,8,7,8,3
Estonia,Georgia,10,3,4,8,5,6,6,5,6
F.Y.R. Macedonia,Moldova,11,8,10,7,7,9,4,6,5
F.Y.R. Macedonia,Armenia,13,3,3,5,9,5,5,4,7
F.Y.R. Macedonia,Belgium,4,2,5,2,2,2,10,5,6
F.Y.R. Macedonia,The Netherlands,8,13,11,6,8,11,11,10,1
F.Y.R. Macedonia,Finland,14,14,15,15,15,15,9,13,"
"
F.Y.R. Macedonia,Greece,3,5,7,14,10,6,7,7,4
F.Y.R. Macedonia,Estonia,10,15,9,13,11,13,6,9,2
