running_order_position,to_country
1,Malta
2,Albania
3,Czechia
4,Germany
5,Russia
6,Denmark
7,San Marino
8,North Macedonia
9,Sweden
10,Slovenia
11,Cyprus
12,Netherlands
13,Greece
14,Israel
15,Norway
16,United Kingdom
17,Iceland
18,Estonia
19,Belarus
20,Azerbaijan
21,France
22,Italy
23,Serbia
24,Switzerland
25,Australia
26,Spain
