running_order_position,to_country
1,Armenia
2,Latvia
3,Estonia
4,Sweden
5,Iceland
6,Albania
7,Russia
8,Azerbaijan
9,Ukraine
10,Belgium
11,Moldova
12,San Marino
13,Portugal
14,Netherlands
15,Montenegro
16,Hungary
