running_order_position,to_country
1,Malta
2,Israel
3,Norway
4,Georgia
5,Poland
6,Austria
7,Lithuania
8,Finland
9,Ireland
10,Belarus
11,North Macedonia
12,Switzerland
13,Greece
14,Slovenia
15,Romania
