running_order_position,to_country
1,Cyprus
2,Albania
3,Israel
4,Belgium
5,Russia
6,Malta
7,Portugal
8,Serbia
9,United Kingdom
10,Greece
11,Switzerland
12,Iceland
13,Spain
14,Moldova
15,Germany
16,Finland
17,Bulgaria
18,Lithuania
19,Ukraine
20,France
21,Azerbaijan
22,Norway
23,Netherlands
24,Italy
25,Sweden
26,San Marino
