running_order_position,to_country
1,Norway
2,Romania
3,Serbia
4,San Marino
5,Denmark
6,Russia
7,Moldova
8,Netherlands
9,Australia
10,Georgia
11,Poland
12,Malta
13,Hungary
14,Latvia
15,Sweden
16,Montenegro
17,Slovenia
18,Ukraine
