running_order_position,to_country
1,Cyprus
2,Montenegro
3,Finland
4,Poland
5,Slovenia
6,Czechia
7,Hungary
8,Belarus
9,Serbia
10,Belgium
11,Georgia
12,Australia
13,Iceland
14,Estonia
15,Portugal
16,Greece
17,San Marino
