running_order_position,to_country
1,Moldova
2,Armenia
3,Belgium
4,Netherlands
5,Finland
6,Greece
7,Estonia
8,North Macedonia
9,Serbia
10,Hungary
11,Belarus
12,Russia
13,Denmark
14,Albania
15,Romania
16,Georgia
