running_order_position,to_country
1,Ukraine
2,Spain
3,Slovenia
4,Lithuania
5,Austria
6,Estonia
7,Norway
8,Portugal
9,United Kingdom
10,Serbia
11,Germany
12,Albania
13,France
14,Czechia
15,Denmark
16,Australia
17,Finland
18,Bulgaria
19,Moldova
20,Sweden
21,Hungary
22,Israel
23,Netherlands
24,Ireland
25,Cyprus
26,Italy
