running_order_position,to_country
1,Armenia
2,Ireland
3,Moldova
4,Switzerland
5,Latvia
6,Romania
7,Denmark
8,Sweden
9,Austria
10,Croatia
11,Malta
12,Lithuania
13,Russia
14,Albania
15,Norway
16,Netherlands
17,North Macedonia
18,Azerbaijan
