Eurovision Song Contest 2016 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
France,Montenegro,17,14,16,16,17,17,17,"
","
"
France,Iceland,13,5,14,12,16,14,11,"
","
"
France,Bosnia & Herzegovina,18,15,17,18,18,18,5,"
",6
France,Malta,4,1,7,1,9,2,12,10,"
"
Greece,Finland,17,16,17,12,14,17,16,"
","
"
Greece,Moldova,9,9,7,10,10,8,11,3,"
"
Greece,Hungary,5,3,9,11,4,4,4,7,7
Greece,Croatia,16,10,16,6,17,14,7,"
",4
Greece,The Netherlands,2,13,15,3,15,10,9,1,2
Greece,Armenia,3,5,2,2,2,2,3,10,8
Greece,San Marino,14,17,14,14,13,16,5,"
",6
Greece,Russia,1,1,1,1,3,1,2,12,10
Greece,Czech Republic,10,4,13,15,8,11,8,"
",3
