running_order_position,to_country
1,Sweden
2,Georgia
3,Australia
4,Albania
5,Belgium
6,Montenegro
7,Finland
8,Azerbaijan
9,Portugal
10,Greece
11,Poland
12,Moldova
13,Iceland
14,Czechia
15,Cyprus
16,Armenia
17,Slovenia
18,Latvia
