Eurovision Song Contest 2014 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Austria,Malta,13,7,2,7,12,10,10,10,1
Austria,Israel,14,8,3,10,11,11,11,12,"
"
Austria,Norway,11,1,1,11,10,6,6,6,5
Austria,Georgia,3,12,13,14,14,13,14,14,"
"
Austria,Poland,5,9,6,13,13,12,2,9,2
Austria,Lithuania,12,11,14,12,8,14,13,13,"
"
Austria,Finland,6,3,4,4,5,2,7,3,8
Austria,Ireland,7,5,5,3,9,3,9,7,4
Austria,Belarus,4,6,7,9,4,4,5,2,10
Austria,F.Y.R. Macedonia,8,13,12,5,1,8,12,11,"
"
Austria,Switzerland,9,14,8,2,7,9,3,5,6
Austria,Greece,2,10,10,6,3,5,8,8,3
Austria,Slovenia,10,4,11,8,6,7,4,4,7
Austria,Romania,1,2,9,1,2,1,1,1,12
Belarus,Malta,1,2,2,1,1,1,13,7,4
Belarus,Israel,9,6,8,8,6,7,10,9,2
Belarus,Norway,14,11,11,13,8,12,7,11,"
"
Belarus,Georgia,3,4,1,3,2,2,12,6,5
Belarus,Poland,7,9,7,9,11,8,1,2,10
Belarus,Austria,8,8,10,7,10,9,3,4,7
Belarus,Lithuania,6,1,5,2,4,4,8,5,6
Belarus,Finland,11,13,9,12,12,11,9,13,"
"
Belarus,Ireland,10,12,14,14,13,13,11,14,"
"
Belarus,F.Y.R. Macedonia,2,3,3,4,3,3,14,10,1
Belarus,Switzerland,12,10,12,10,9,10,5,8,3
Belarus,Greece,5,7,4,6,5,6,2,1,12
Belarus,Slovenia,13,14,13,11,14,14,6,12,"
"
Belarus,Romania,4,5,6,5,7,5,4,3,8
F.Y.R. Macedonia,Malta,3,3,2,3,3,1,"
",1,12
F.Y.R. Macedonia,Israel,9,5,5,11,1,6,"
",6,5
F.Y.R. Macedonia,Norway,2,6,12,2,10,7,"
",7,4
F.Y.R. Macedonia,Georgia,13,13,14,13,14,14,"
",14,"
"
F.Y.R. Macedonia,Poland,5,14,6,5,4,8,"
",8,3
F.Y.R. Macedonia,Austria,4,9,4,6,5,5,"
",5,6
F.Y.R. Macedonia,Lithuania,14,11,8,12,7,11,"
",11,"
"
F.Y.R. Macedonia,Finland,6,2,7,4,2,2,"
",2,10
F.Y.R. Macedonia,Ireland,8,4,1,7,8,4,"
",4,7
F.Y.R. Macedonia,Belarus,7,10,3,9,6,9,"
",9,2
F.Y.R. Macedonia,Switzerland,12,8,9,10,13,10,"
",10,1
F.Y.R. Macedonia,Greece,11,12,13,8,11,13,"
",13,"
"
F.Y.R. Macedonia,Slovenia,10,7,11,14,12,12,"
",12,"
"
F.Y.R. Macedonia,Romania,1,1,10,1,9,3,"
",3,8
Finland,Malta,3,3,6,3,5,3,11,6,5
Finland,Israel,12,13,4,11,6,10,5,8,3
Finland,Norway,2,2,7,4,3,2,2,2,10
Finland,Georgia,8,7,2,14,14,8,12,11,"
"
Finland,Poland,14,14,11,9,10,14,7,12,"
"
Finland,Austria,1,1,1,1,2,1,1,1,12
Finland,Lithuania,11,11,14,5,4,9,13,14,"
"
Finland,Ireland,9,12,13,13,7,13,9,13,"
"
Finland,Belarus,6,8,8,7,13,7,6,4,7
Finland,F.Y.R. Macedonia,7,6,5,2,12,5,14,10,1
Finland,Switzerland,5,4,9,8,9,6,4,3,8
Finland,Greece,13,9,12,6,11,12,3,7,4
Finland,Slovenia,10,10,10,12,8,11,8,9,2
Finland,Romania,4,5,3,10,1,4,10,5,6
Georgia,Malta,14,3,3,3,3,3,"
",3,8
Georgia,Israel,12,9,14,10,10,14,"
",14,"
"
Georgia,Norway,10,12,1,11,4,6,"
",6,5
Georgia,Poland,9,6,12,12,9,11,"
",11,"
"
Georgia,Austria,1,7,4,6,1,2,"
",2,10
Georgia,Lithuania,8,5,5,5,5,4,"
",4,7
Georgia,Finland,7,1,13,14,12,10,"
",10,1
Georgia,Ireland,13,8,8,13,7,13,"
",13,"
"
Georgia,Belarus,4,2,2,2,2,1,"
",1,12
Georgia,F.Y.R. Macedonia,6,14,9,1,11,9,"
",9,2
Georgia,Switzerland,11,13,10,7,8,12,"
",12,"
"
Georgia,Greece,5,11,7,4,13,8,"
",8,3
Georgia,Slovenia,3,10,11,9,6,7,"
",7,4
Georgia,Romania,2,4,6,8,14,5,"
",5,6
Germany,Malta,6,3,15,7,13,8,8,8,3
Germany,Israel,5,14,8,14,14,11,7,9,2
Germany,Norway,2,4,3,4,4,3,6,4,7
Germany,Georgia,4,15,14,1,3,6,13,10,1
Germany,Poland,3,8,2,3,1,2,2,1,12
Germany,Austria,12,6,10,15,12,13,1,7,4
Germany,Lithuania,7,13,7,13,15,12,11,12,"
"
Germany,Finland,1,1,1,2,2,1,9,6,5
Germany,Ireland,14,10,11,11,10,15,14,15,"
"
Germany,Belarus,15,9,9,12,11,14,12,14,"
"
Germany,F.Y.R. Macedonia,11,12,4,10,7,9,15,13,"
"
Germany,Switzerland,9,2,12,5,6,5,4,2,10
Germany,Greece,8,7,5,9,8,7,3,5,6
Germany,Slovenia,13,11,13,8,9,10,10,11,"
"
Germany,Romania,10,5,6,6,5,4,5,3,8
Greece,Malta,7,7,9,5,10,7,12,11,"
"
Greece,Israel,9,2,1,2,7,3,9,5,6
Greece,Norway,4,1,3,1,1,1,10,4,7
Greece,Georgia,13,8,13,8,8,12,4,10,1
Greece,Poland,14,14,10,3,3,9,6,8,3
Greece,Austria,1,4,6,6,2,2,1,1,12
Greece,Lithuania,8,13,12,12,14,13,13,14,"
"
Greece,Finland,3,3,5,11,12,6,8,7,4
Greece,Ireland,5,11,7,4,11,8,7,9,2
Greece,Belarus,10,6,4,7,4,4,5,3,8
Greece,F.Y.R. Macedonia,2,10,14,13,6,11,14,13,"
"
Greece,Switzerland,12,9,8,10,5,10,3,6,5
Greece,Slovenia,11,12,11,14,13,14,11,12,"
"
Greece,Romania,6,5,2,9,9,5,2,2,10
Ireland,Malta,5,3,1,12,7,4,10,8,3
Ireland,Israel,7,4,7,4,12,6,12,11,"
"
Ireland,Norway,2,1,4,5,1,2,8,3,8
Ireland,Georgia,14,9,14,9,10,13,14,14,"
"
Ireland,Poland,13,14,8,13,14,14,1,9,2
Ireland,Austria,1,2,2,1,3,1,3,1,12
Ireland,Lithuania,12,12,11,8,11,12,2,6,5
Ireland,Finland,6,5,5,3,2,3,5,2,10
Ireland,Belarus,11,13,10,14,4,11,7,10,1
Ireland,F.Y.R. Macedonia,9,7,13,7,13,10,13,13,"
"
Ireland,Switzerland,8,6,6,11,5,7,6,5,6
Ireland,Greece,3,11,3,10,6,5,9,7,4
Ireland,Slovenia,10,8,9,6,8,9,11,12,"
"
Ireland,Romania,4,10,12,2,9,8,4,4,7
Israel,Malta,9,13,11,8,12,12,9,12,"
"
Israel,Norway,13,8,12,11,14,13,11,13,"
"
Israel,Georgia,8,14,13,14,10,14,12,14,"
"
Israel,Poland,14,1,14,5,13,10,5,7,4
