running_order_position,to_country
1,Latvia
2,Poland
3,Switzerland
4,Israel
5,Belarus
6,Serbia
7,Ireland
8,North Macedonia
9,Lithuania
10,Australia
11,Slovenia
12,Bulgaria
13,Denmark
14,Ukraine
15,Norway
16,Georgia
17,Albania
18,Belgium
