running_order_position,to_country
1,Albania
2,Latvia
3,Lithuania
4,Switzerland
5,Slovenia
6,Ukraine
7,Bulgaria
8,Netherlands
9,Moldova
10,Portugal
11,Croatia
12,Denmark
13,Austria
14,Iceland
15,Greece
16,Norway
17,Armenia
