running_order_position,to_country
1,Finland
2,Greece
3,Moldova
4,Hungary
5,Croatia
6,Netherlands
7,Armenia
8,San Marino
9,Russia
10,Czechia
11,Cyprus
12,Austria
13,Estonia
14,Azerbaijan
15,Montenegro
16,Iceland
17,Bosnia & Herzegovina
18,Malta
