Eurovision Song Contest 2015 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Ireland,Czech Republic,6,6,4,10,12,7,11,10,1
Ireland,Israel,1,3,8,2,8,3,5,3,8
Ireland,Latvia,11,1,1,6,2,2,3,1,12
Ireland,Azerbaijan,13,15,9,9,11,14,15,15,"
"
Ireland,Iceland,10,12,5,12,7,9,9,9,2
Ireland,Sweden,12,4,3,1,1,1,4,2,10
Ireland,Switzerland,7,11,7,13,14,12,13,12,"
"
Ireland,Cyprus,15,5,11,3,3,5,6,5,6
Ireland,Slovenia,9,13,15,8,5,11,8,11,"
"
Ireland,Poland,8,10,10,14,6,10,2,6,5
Israel,Lithuania,14,8,12,2,6,8,6,7,4
Israel,Ireland,10,12,14,12,10,13,12,14,"
"
Israel,San Marino,16,10,16,10,15,15,14,16,"
"
Israel,Montenegro,3,14,5,9,8,7,2,4,7
Israel,Malta,2,4,3,3,4,2,5,2,10
Israel,Norway,15,15,11,15,12,16,4,10,1
Israel,Portugal,13,16,4,8,16,12,11,12,"
"
Israel,Czech Republic,9,6,10,6,2,5,3,3,8
Israel,Latvia,11,11,7,7,14,10,9,9,2
Israel,Azerbaijan,12,9,9,16,9,11,7,8,3
Israel,Iceland,8,13,13,13,13,14,13,15,"
"
Israel,Sweden,1,2,2,1,1,1,1,1,12
Israel,Switzerland,6,7,6,11,5,6,16,11,"
"
Israel,Cyprus,4,3,8,4,3,3,10,6,5
Israel,Slovenia,7,1,1,5,11,4,8,5,6
Israel,Poland,5,5,15,14,7,9,15,13,"
"
Italy,Lithuania,9,13,15,12,13,15,5,11,"
"
Italy,Ireland,10,12,11,3,11,9,13,13,"
"
Italy,San Marino,17,1,4,16,16,11,2,5,6
Italy,Montenegro,6,14,7,10,9,8,7,7,4
Italy,Malta,15,4,2,9,10,7,12,10,1
Italy,Norway,3,5,3,8,7,5,11,9,2
Italy,Portugal,1,11,8,6,5,6,14,12,"
"
Italy,Czech Republic,16,15,12,17,17,17,10,14,"
"
Italy,Israel,5,2,6,4,6,3,3,1,12
Italy,Latvia,4,7,1,7,2,2,8,3,8
Italy,Azerbaijan,13,6,9,14,15,13,17,16,"
"
Italy,Iceland,12,10,13,13,8,12,16,15,"
"
