running_order_position,to_country
1,Ukraine
2,Belarus
3,Azerbaijan
4,Iceland
5,Norway
6,Romania
7,Armenia
8,Montenegro
9,Poland
10,Greece
11,Austria
12,Germany
13,Sweden
14,France
15,Russia
16,Italy
17,Slovenia
18,Finland
19,Spain
20,Switzerland
21,Hungary
22,Malta
23,Denmark
24,Netherlands
25,San Marino
26,United Kingdom
